UFID,y,x
100037612010B0011e3885a5aa54d470c,37.4983024416,126.9979165479
100037612010B0011361098e8b5314d6c,37.4985532894,126.9979376907
100037612010B00113e3c93217c7f4825,37.4974627132,126.9981445221
100037612010B001169667f3c85444faf,37.4971054695,126.9980985449
100037612010B0011b4c0134bcd084893,37.4975151450,126.9978460090
100037612010B00110fa82deb65ce4a71,37.4990790494,126.9978735897
100037612010B0011a6500aebc55446a7,37.4977269090,126.9981355514
100037612010B0011328ee27b34994a8d,37.4975964825,126.9981444735
100037612010B0011fe822b669bf34e82,37.4968566988,126.9980530904
100037612010B00118b2bdbd6d35e4772,37.4969032541,126.9977938939
100037612010B00118a586111e88c4e1d,37.4966765309,126.9980229198
100037612010B00118dbf855ddc34468f,37.4987883182,126.9978870292
100037612010B001117d3af64e5db4d07,37.4989350827,126.9979086459
100037612010B00110a63d8eaecf84416,37.4999271374,126.9986249123
100037612010B0011367f86fa71384f15,37.4958100286,126.9983852611
100037612010B001181fbd5e8e39541e1,37.4951908048,126.9976584781
100037612010B0011f999424fcc074a5a,37.4996661309,126.9983503006
100037612010B001195d209bef4424a79,37.4967314473,126.9977408164
100037612010B0011c2645521cf7941e5,37.4965052150,126.9977279028
100037612010B001122764ad86b974d0d,37.4981294959,126.9981517715
100037612010B0011273017096aab4e58,37.4991086816,126.9988821584
100037612010B00111a736da48bc241a2,37.4980223209,126.9981225477
100037612010B001152491d8b6d8f4735,37.4991169070,126.9986055243
100037612010B001122a920fcf4684b84,37.4985045866,126.9989255144
100037612010B00113bf154f9b96247b8,37.4972976373,126.9977397377
100037612010B0011080ed4561a534fdd,37.4995257782,126.9976922325
100037612010B0011ce2ebe0dec0d4941,37.4987479119,126.9985894192
100037612010B00119938446898cb4da5,37.4972898062,126.9978984764
100037612010B0011633959baf89c422e,37.4992809389,126.9985742240
100037612010B0011ce25a00ec1624edc,37.4976870219,126.9987218245
100037612010B0011e57380df4aae4fd3,37.4980945850,126.9986587092
100037612010B0011a5213ac2a1c94bce,37.4992067947,126.9978207809
100037612010B0011aabce3316b1444e4,37.4985423703,126.9986463753
100037612010B001168a6d79c10e142b9,37.4959761682,126.9976363955
100037612010B0011a5f3164e85344b64,37.4962509353,126.9980059568
100037612010B0011b3b8c73e14c84c69,37.4977040297,126.9985037456
100037612010B00113db2f17f04af4341,37.4959743065,126.9983611225
100037612010B0011acefe3b7b4a549ec,37.4954617046,126.9975839633
100037612010B0011758b0837b287432f,37.4992639955,126.9989792558
100037612010B001100f8e4eec93c415a,37.4994408046,126.9985024628
100037612010B0011fa31cac341e84f71,37.4980857947,126.9988868503
100037612010B0011ef6914e162134045,37.4983721999,126.9982076506
100037612010B001188b9565c3669489a,37.4979132859,126.9985619969
100037612010B001102cee0011e864e6d,37.4987277769,126.9989510866
100037612010B00110a13f522d9c34729,37.4995445878,126.9988948479
100037612010B00116cc83c850d3f41f3,37.4958389472,126.9978614223
100037612010B0011f3afd1eb8a074f25,37.4952653472,126.9982091220
100037612010B00118ac1c8907ca8442f,37.4992769111,126.9988250532
100037612010B00119993f54ad0d94122,37.4985517369,126.9982326115
100037612010B001139c12f4fcb1a46f3,37.4979161938,126.9981269037
100037612010B0011326c4893ef5f4b28,37.4954407460,126.9982679959
100037612010B00112ac967a3c9b347f5,37.4978863612,126.9988712561
100037612010B0011152d5b02486644f7,37.4954192282,126.9978496500
100037612010B0011fabc529724784f28,37.4983230429,126.9989286367
100037612010B0011324da4e509ee46ae,37.4956088950,126.9982650457
100037612010B0011ce87f6fb30584153,37.4989076136,126.9982334399
100037612010B001171ca991c5d56440e,37.4982471286,126.9981729523
100037612010B0011f2ba8bb8e8f94220,37.4951585703,126.9985057976
100037612010B0011a24fc9c702ae4b64,37.4977052449,126.9988894758
100037612010B0011c02004da119c4e76,37.4990592837,126.9982495986
100037612010B001166f79e24437a4faf,37.4987602356,126.9982018446
100037612010B0011ea70c593fe224b29,37.4991476189,126.9981594636
100037612010B00111436e499f9ff40dd,37.4951119341,126.9981818794
100037612010B0011866e57c7af77459a,37.4997778339,126.9983536897
100037612010B0011dddea0409849415e,37.4990806843,126.9989977816
100037612010B001150bfbe90a2cb4294,37.4987365377,126.9987732367
100037612010B0011f2d043b390104751,37.4990933573,126.9987664439
100037612010B00110ec2d18e94ef4720,37.4975849627,126.9988443819
100037612010B0011fff281f9081445dc,37.4962540630,126.9976447290
100037612010B001146f26d0851b546f5,37.4962407680,126.9977809684
100037612010B0011079bf73602ba4253,37.4983661548,126.9985274582
100037612010B00117c059e0776ee49ab,37.4975702413,126.9985403618
100037612010B001143cfa17ab93f4bb6,37.4989163243,126.9985762680
100037612010B0011a330857aa70449d1,37.4961984349,126.9986661511
100037612010B0011f0ff58c8628d419c,37.4979558427,126.9977988650
100037612010B001120f39f39f40b49da,37.4956167812,126.9985872078
100037612010B0011bf64eb0b1a934680,37.4977053160,126.9978009412
100037612010B001121ca18a3e3934ba4,37.4993545462,126.9977538806
100037612010B00110305410e16fb4ead,37.4963867517,126.9986794454
100037612010B00110a94e8fbe72243ea,37.4996304673,126.9979133688
100037612010B00118d591943abee4fc5,37.4970989102,126.9978089161
100037612010B001168d0f9bec30a4030,37.4983285379,126.9987202356
100037612010B00115ff5b6fe875f4b3b,37.4966153729,126.9986117088
100037612010B0011fd7a0f399fec4cdb,37.4959973950,126.9986673916
100037612010B00114faa0718ed5542d7,37.4957929127,126.9987016044
100037612010B00117750d573aacb4012,37.4974406694,126.9988113358
100037612010B00117956187d228b451e,37.4954324659,126.9985710010
100037612010B00115d6fee79c06f4c5e,37.4968452560,126.9986306251
100037612010B0011b20e3bf4bec14a9c,37.4970825659,126.9984699097
100037612010B0011cc74738afa04413b,37.4973458742,126.9985066443
100037612010B0011437418dbf271478c,37.4962025664,126.9983760188
100037612010B00119994e50e4f23434f,37.4964066622,126.9983970843
100037612010B0011fe57819bfb8c466c,37.4995625337,126.9984713315
100037612010B0011baa705a6fd17488f,37.4990183752,126.9985620863
100037612010B0011aedac073c2de4ec4,37.4974549755,126.9985172760
100037612010B001152b2f580eb554d78,37.4993761823,126.9980964853
100037612010B00110aa2c5c7b7eb436b,37.4989291887,126.9980469074
100037612010B001127286514e8684cab,37.4979599429,126.9979333364
100037612010B001126d6e9db925342fd,37.4981452793,126.9979773315
100037612010B0011a580a68248de49eb,37.4973200191,126.9980990967
100037612010B001159fd4d211a2e44ba,37.4977103952,126.9979481037
100037612010B0011733d7cfaffa342ce,37.4988937073,126.9987844765
100037612010B0011d2e04dec35e5493d,37.4988804151,126.9989579498
100037612010B00111f3638dbf86c4f12,37.4964486793,126.9980024549
